participantId,trialNumber,condition,values,marked,reportedPercent,truePercent,log2Error
003,50,StackedBar,"[18,16,21,6,3,83,79,42,41,85]","[7,3]",14,14,0
003,51,StackedBar,"[67,80,9,23,76,71,10,94,88,81]","[8,6]",13,11,1.0874628412503393
003,52,Bar,"[26,40,35,50,26,96,65,80,29,90]","[6,5]",70,68,1.0874628412503393
003,53,StackedBar,"[12,17,38,83,68,1,46,92,27,11]","[9,2]",25,29,2.0443941193584534
003,54,StackedBar,"[75,45,87,49,62,56,31,20,79,12]","[0,5]",65,75,3.3398500028846247
003,55,StackedBar,"[23,69,79,17,16,15,44,17,46,82]","[6,8]",92,96,2.0443941193584534
003,56,StackedBar,"[77,87,53,95,58,62,84,4,29,36]","[4,7]",8,7,0.16992500144231237
003,57,ComparativeBar,"[52,32,95,42,56,45,19,48,23,24]","[2,3]",47,44,1.6438561897747246
003,58,ComparativeBar,"[18,6,88,29,38,47,92,64,92,49]","[5,9]",97,96,0.16992500144231237
003,59,Bar,"[50,59,100,32,49,73,91,45,7,65]","[9,7]",68,69,0.16992500144231237
003,60,Bar,"[26,40,35,50,26,96,65,80,29,90]","[6,5]",70,68,1.0874628412503393
006,1,ComparativeBar,"[86,33,1,51,32,62,77,82,86,27]","[5,3]",80,82,1.0874628412503393
006,2,ComparativeBar,"[5,50,33,37,42,18,19,57,46,94]","[5,6]",98,95,1.6438561897747246
006,3,Bar,"[27,27,32,94,52,2,22,77,18,54]","[8,1]",80,67,3.7142455176661224
006,4,ComparativeBar,"[31,30,92,38,22,95,15,64,93,10]","[3,2]",40,41,0.16992500144231237
006,5,ComparativeBar,"[84,90,76,75,55,58,61,64,17,66]","[1,9]",65,73,3.0223678130284544
006,6,StackedBar,"[98,13,97,1,94,53,61,28,68,54]","[8,6]",80,90,3.3398500028846247
006,7,ComparativeBar,"[75,26,12,26,49,32,28,63,44,85]","[3,7]",40,41,0.16992500144231237
006,8,ComparativeBar,"[22,63,11,77,87,94,71,94,39,82]","[0,8]",50,56,2.6147098441152083
006,9,StackedBar,"[28,72,15,90,48,26,48,42,51,46]","[1,0]",35,39,2.0443941193584534
006,10,Bar,"[29,38,61,84,8,61,79,0,5,1]","[0,8]",15,17,1.0874628412503393
006,11,StackedBar,"[64,91,74,51,39,24,57,94,53,10]","[3,2]",60,69,3.189824558880017
006,12,ComparativeBar,"[42,46,90,53,84,31,62,70,69,10]","[0,7]",60,60,0
006,13,ComparativeBar,"[95,70,67,7,61,0,89,57,46,12]","[0,9]",12,13,0.16992500144231237
006,14,Bar,"[82,17,16,88,88,92,32,88,45,56]","[7,0]",90,93,1.6438561897747246
006,15,Bar,"[69,37,37,46,23,90,36,3,7,92]","[6,2]",99,97,1.0874628412503393
006,16,Bar,"[38,76,75,32,30,62,81,86,89,85]","[9,6]",95,95,0
006,17,StackedBar,"[71,22,65,94,70,91,89,35,16,85]","[7,2]",50,54,2.0443941193584534
006,18,StackedBar,"[16,28,31,17,45,63,53,19,65,32]","[4,1]",60,62,1.0874628412503393
006,19,Bar,"[97,45,46,78,76,56,50,25,65,7]","[1,2]",98,98,0
006,20,StackedBar,"[22,46,32,4,12,16,60,96,13,27]","[4,8]",99,92,2.8328900141647417
006,21,Bar,"[83,96,60,95,77,18,90,84,98,82]","[2,8]",70,61,3.189824558880017
006,22,Bar,"[21,21,12,65,88,43,10,7,74,77]","[8,5]",56,58,1.0874628412503393
006,23,Bar,"[49,79,52,55,91,30,60,92,69,81]","[4,5]",33,33,0
006,24,ComparativeBar,"[53,99,97,14,74,63,11,47,4,20]","[9,3]",60,70,3.3398500028846247
006,25,Bar,"[95,81,13,57,56,9,94,9,0,1]","[7,2]",80,69,3.4757334309663976
006,26,ComparativeBar,"[32,58,22,81,25,76,50,69,80,42]","[0,8]",50,40,3.3398500028846247
